estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.851777,90.408107,23.809638,90.421474,883cf105b7fffff,883cf13b07fffff,23.84896931531486,90.4091931192449,23.811536226315752,90.42114981356382
23.778512,90.36232,23.75231295,90.39786849,883cf10cc7fffff,883cf10cb1fffff,23.77608124036896,90.36617387184424,23.75287285552909,90.39820550000373
23.86173953,90.40571362,23.789034,90.405649,883cf105bbfffff,883cf13b25fffff,23.86376838269995,90.41014845140748,23.78975453851014,90.40537278031883
23.7731956,90.36353327,23.74344072,90.37351942,883cf10cc7fffff,883cf10ca1fffff,23.77608124036896,90.36617387184424,23.74617747845789,90.37382814567574
23.708736,90.411787,23.7876836,90.391589,883cf17607fffff,883cf10cd3fffff,23.707856519272113,90.41446164400533,23.790038981477807,90.39581083253796
23.85777,90.406154,23.79461225,90.41343,883cf105b1fffff,883cf13b21fffff,23.85651090970993,90.40488861792731,23.797015608806994,90.41063144219831
23.78045035,90.36823981,23.75840824,90.37429689,883cf10cc3fffff,883cf10c85fffff,23.78334390917981,90.37143064998999,23.760988852329252,90.37478125764486
23.78765866,90.34805652,23.79144198,90.40344682,883cf10ea7fffff,883cf13b25fffff,23.79145221857796,90.34800530581661,23.78975453851014,90.40537278031883
23.77686645,90.37160195,23.764544,90.400591,883cf10c89fffff,883cf10c95fffff,23.775798383977737,90.37573446836544,23.76768382991121,90.39915993441795
23.77257706,90.36408875,23.79692,90.34924,883cf10cc7fffff,883cf10ea3fffff,23.77608124036896,90.36617387184424,23.798714458563694,90.35326159654097
23.783463,90.343988,23.77339,90.42448,883cf10c1bfffff,883cf13945fffff,23.784189472584718,90.3427493651436,23.774375128911405,90.42354165830746
23.78878581,90.36650911,23.73890297,90.38555542,883cf10ccbfffff,883cf17649fffff,23.790888719139748,90.367126671988,23.73834491222074,90.3876911389497
23.85221,90.40839,23.89482668,90.41146696,883cf105b7fffff,883cf104a5fffff,23.84896931531486,90.4091931192449,23.893360953813687,90.41205941275392
23.85078934,90.40898591,23.77085774,90.40597398,883cf105b7fffff,883cf10c97fffff,23.84896931531486,90.4091931192449,23.767398775847976,90.40872125819085
23.777305,90.368271,23.76918406,90.41007881,883cf10cc7fffff,883cf10c97fffff,23.77608124036896,90.36617387184424,23.767398775847976,90.40872125819085
